"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1994:Q3","age40to54",33.8,35.2,34.4,33.1,34.6,41,39.5,28.6,44,46.1,38.3,37.9
"1994:Q3","ageunder40",10.3,14.2,19.4,28.7,7.5,11.3,10.3,10.7,37.7,36.4,47.6,9.6
"1994:Q4","age70plus",21.3,18.6,17.7,13.4,21,13.2,15.9,28,3,2.7,2.2,11.5
"1994:Q4","age55to69",34.7,32,28,24.8,35.9,35.7,33.7,32.8,15.7,15.1,12.2,41.9
"1994:Q4","age40to54",33.8,35.3,34.7,33.3,35.6,39.9,40.2,28.8,44,46.3,38.2,37.2
"1994:Q4","ageunder40",10.2,14.1,19.5,28.5,7.6,11.2,10.2,10.4,37.3,35.9,47.4,9.4
"1995:Q1","age70plus",21.3,18.7,17.9,13.5,21.4,13.2,15.9,27.8,2.9,2.8,1.9,10.6
"1995:Q1","age55to69",34.5,31.8,28,24.9,35.5,34.9,33.4,32.8,15.5,15,11.8,42.1
"1995:Q1","age40to54",34.1,35.6,34.8,33.1,35.7,40.5,40.7,29.2,44.4,46.7,38.9,37.7
"1995:Q1","ageunder40",10.2,14,19.3,28.5,7.4,11.4,10,10.3,37.1,35.6,47.5,9.6
"1995:Q2","age70plus",21.2,18.6,16.8,13.3,21.8,13.3,16.3,28,2.8,2.6,1.9,10.4
"1995:Q2","age55to69",33.9,31.3,27.1,24.3,35.6,34.2,33.4,32.4,15.4,14.8,11.8,42.3
"1995:Q2","age40to54",34.7,36.2,36.5,34,35.6,40.9,40.8,29.2,44.8,47.1,39.1,37.6
"1995:Q2","ageunder40",10.1,14,19.6,28.4,7.1,11.6,9.5,10.4,37,35.5,47.2,9.7
"1995:Q3","age70plus",21.2,18.6,16.2,13.1,22.2,13.4,16.9,28.1,2.9,2.7,2.1,11
"1995:Q3","age55to69",33.7,31.1,26.7,23.9,35.8,33.6,33.6,32.5,15.5,14.9,11.7,42.6
"1995:Q3","age40to54",35.1,36.5,37.5,34.5,35.2,41.3,40.7,29.2,44.9,47.4,39.2,36.9
"1995:Q3","ageunder40",10,13.8,19.7,28.4,6.8,11.7,8.8,10.2,36.7,35.1,47.1,9.5
"1995:Q4","age70plus",21.1,18.5,16.5,13,22.1,13.1,16.5,28.1,2.8,2.4,2.4,10.7
"1995:Q4","age55to69",33.9,31.3,26.8,24.2,36.4,33.6,33.5,32.6,15.5,14.9,12.5,40.5
"1995:Q4","age40to54",35.1,36.5,37.3,34.7,34.7,41.5,40.5,29.2,44.9,47.6,38.5,38.5
"1995:Q4","ageunder40",9.9,13.7,19.4,28.1,6.9,11.7,9.5,10.1,36.7,35.1,46.5,10.3
"1996:Q1","age70plus",21.1,18.5,17,13,21.9,12.9,16.3,27.8,2.7,2.2,2.1,13.2
"1996:Q1","age55to69",34.2,31.6,27.2,24.7,36.7,33.8,33.4,32.8,15.8,15,13,40.7
