"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1996:Q3","Hispanic",1.9,2.2,2.9,3.4,0.8,2.7,1.2,1.9,4.2,4,5.1,2.1
"1996:Q3","Other",3.5,3.6,3.7,4.2,2.7,4.2,2.5,3.9,4.6,4.6,4.7,4.4
"1996:Q4","White",91,90.1,87.9,86.9,95.2,87.1,94.1,91.5,84.7,85.4,81.8,91
"1996:Q4","Black",3.6,4,4.7,5.4,1.4,6.4,1.8,2.8,6.4,6.1,8.2,2.1
"1996:Q4","Hispanic",2,2.3,3.2,3.4,0.8,2.6,1.5,1.9,4.2,4,5.2,2.1
"1996:Q4","Other",3.5,3.6,4.2,4.4,2.6,3.9,2.6,3.8,4.7,4.6,4.9,4.8
"1997:Q1","White",90.5,89.7,87.5,86.6,95.3,87.3,91.7,91.3,85,85.4,82.9,90.2
"1997:Q1","Black",3.6,4,4.8,5.5,1.4,6.3,1.7,3,6.2,6,7.6,2.1
"1997:Q1","Hispanic",2.2,2.5,3.3,3.5,0.9,2.7,2.1,2.1,4.2,4,5.2,2.4
"1997:Q1","Other",3.7,3.8,4.4,4.4,2.4,3.8,4.5,3.6,4.6,4.6,4.4,5.3
"1997:Q2","White",90.9,90.1,87.9,87.3,94.9,87.5,92.9,91.4,85.1,85.4,83,89.9
"1997:Q2","Black",3.6,3.9,4.7,5.2,1.4,6.2,1.7,3,6.1,6,7.3,2
"1997:Q2","Hispanic",2.1,2.4,3.3,3.3,0.9,2.7,1.8,2.2,4.2,3.9,5.3,2.5
"1997:Q2","Other",3.5,3.6,4.2,4.2,2.8,3.6,3.6,3.4,4.6,4.6,4.4,5.6
"1997:Q3","White",90.9,90.1,87.7,87.7,94.7,87.8,92.5,91.5,85,85.2,83.2,90.6
"1997:Q3","Black",3.5,3.9,4.6,4.9,1.4,6.1,1.8,3.1,6.1,6.1,7.1,1.6
"1997:Q3","Hispanic",2.1,2.4,3.3,3.3,0.9,2.7,1.9,2.3,4.2,4,5.3,2.3
"1997:Q3","Other",3.5,3.6,4.4,4.1,3,3.5,3.9,3.2,4.7,4.7,4.4,5.6
"1997:Q4","White",90.5,89.7,86.5,86.9,94.7,87.9,91.2,91.6,84.8,85.2,82.8,89.7
"1997:Q4","Black",3.6,3.9,4.8,5.3,1.5,6.1,1.7,3,6.1,6,7.2,1.7
"1997:Q4","Hispanic",2.3,2.5,3.6,3.4,0.9,2.7,2.2,2.3,4.2,3.9,5.4,2.6
"1997:Q4","Other",3.7,3.8,5,4.4,2.8,3.3,4.8,3.1,4.9,4.9,4.6,6.1
"1998:Q1","White",90.4,89.7,86.3,87.4,94.3,88,90.4,91.8,85,85,83.8,89.4
"1998:Q1","Black",3.5,3.9,4.8,5.1,1.5,6.1,1.7,3.1,5.9,6,6.7,1.6
"1998:Q1","Hispanic",2.3,2.5,3.7,3.3,0.9,2.7,2.4,2.3,4.2,3.9,5.4,2.6
"1998:Q1","Other",3.8,3.9,5.2,4.3,3.2,3.2,5.5,2.8,4.9,5.1,4.1,6.4
"1998:Q2","White",90.7,89.9,86.5,87.3,94.4,88,91.3,92,84.9,85,83.6,89.4
"1998:Q2","Black",3.5,3.8,4.7,5.1,1.5,6.1,1.7,3,5.9,6,6.7,1.4
"1998:Q2","Hispanic",2.3,2.5,3.7,3.3,1,2.8,2.1,2.4,4.2,3.9,5.5,2.7
"1998:Q2","Other",3.6,3.7,5.1,4.3,3.1,3.1,4.9,2.6,5,5.1,4.3,6.5
"1998:Q3","White",91.1,90.3,87.5,87.9,95,88.4,91,92.2,84.8,84.8,83.6,88.7
"1998:Q3","Black",3.4,3.7,4.4,4.7,1.6,5.8,1.7,2.9,5.9,6,6.6,1.2
"1998:Q3","Hispanic",2.3,2.6,3.5,3.6,1.1,2.8,2.1,2.4,4.2,3.9,5.5,2.9
"1998:Q3","Other",3.2,3.4,4.5,3.8,2.4,3,5.1,2.4,5.1,5.2,4.3,7.2
"1998:Q4","White",90.7,89.9,86.8,87.7,94.3,88,90.8,92,84.7,84.9,83.1,89
"1998:Q4","Black",3.5,3.9,4.6,5,1.5,6.3,1.8,3,6.1,6.1,7,1.6
"1998:Q4","Hispanic",2.2,2.5,3.7,3.3,1,2.9,2.2,2.1,4.3,4,5.6,2.7
"1998:Q4","Other",3.5,3.7,4.9,4,3.2,2.9,5.2,2.8,4.9,5,4.4,6.8
"1999:Q1","White",91,90.1,87.3,88.2,94.5,87.9,91.6,92.2,84.9,85.1,83.3,89.5
"1999:Q1","Black",3.5,3.8,4.6,4.9,1.4,6.3,1.6,3.1,6.2,6.2,7,1.7
"1999:Q1","Hispanic",2.2,2.5,3.5,3.1,1,2.9,2,2.1,4.3,4,5.5,2.4
"1999:Q1","Other",3.4,3.5,4.7,3.8,3.1,2.8,4.8,2.6,4.6,4.6,4.1,6.4
"1999:Q2","White",91,90.1,87,88,94.3,87.7,93,92.1,85,85.2,83.1,90.5
