"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"2014:Q4","pct80to99",38512301,44434620,9827191,1681884,9086357,11948048,4017642,7873497,5922319,4624180,1025903,272236
"2014:Q4","pct60to80",12558968,15673656,4031741,1057209,1469057,5823934,726384,2565331,3114688,2189322,865572,59794
"2014:Q4","pct40to60",6274842,8038564,2398501,682735,646554,2518337,294108,1498329,1763721,1103957,636901,22863
"2014:Q4","pct20to40",3576844,4605528,1624553,489913,286605,1046955,155324,1002179,1028684,575976,429097,23611
"2014:Q4","pct00to20",2098717,2733111,951722,275930,258446,306450,380411,560152,634394,268995,269722,95677
"2015:Q1","pct99to100",20492991,21460451,2935198,685746,7978032,1479052,3659159,4723265,967460,630986,90145,246329
"2015:Q1","pct80to99",39534695,45431555,9990112,1677006,9358662,12115565,4190192,8100017,5896859,4608745,1022391,265723
"2015:Q1","pct60to80",12562975,15651062,4079812,1061752,1488483,5841028,714200,2465789,3088087,2172400,852103,63584
"2015:Q1","pct40to60",6389423,8145373,2444787,686813,642454,2528143,293425,1549750,1755950,1097934,633803,24213
"2015:Q1","pct20to40",3558561,4574939,1633040,492975,289604,1053816,133401,972103,1016377,571847,420323,24208
"2015:Q1","pct00to20",2069104,2713255,939126,281762,262828,303986,399650,525903,644151,269537,277525,97089
"2015:Q2","pct99to100",20705190,21697777,3008430,702632,8030792,1488798,3736435,4730690,992588,640366,98195,254027
"2015:Q2","pct80to99",39965982,45898954,10190148,1681502,9427709,12216762,4274506,8108327,5932971,4623493,1032941,276538
"2015:Q2","pct60to80",12417707,15544111,4134604,1072988,1465226,5827024,714322,2329946,3126404,2177803,880875,67727
"2015:Q2","pct40to60",6446050,8224583,2508364,697758,630645,2522484,294547,1570785,1778533,1103401,650901,24232
"2015:Q2","pct20to40",3539136,4570383,1653685,498989,286469,1053573,142856,934811,1031247,570741,435136,25370
"2015:Q2","pct00to20",2050819,2691115,951575,291093,264100,299126,402574,482646,640296,272046,272357,95892
"2015:Q3","pct99to100",20254022,21226069,3064026,698012,7286876,1462068,3806092,4908995,972047,650649,105178,216220
"2015:Q3","pct80to99",39771707,45696487,10327397,1683621,8822239,12193551,4351878,8317801,5924779,4643013,1049178,232589
"2015:Q3","pct60to80",12113670,15276258,4225022,1078664,1301910,5669046,713050,2288566,3162588,2182013,906922,73653
"2015:Q3","pct40to60",6469966,8277773,2591548,716628,592692,2455798,295180,1625926,1807807,1108143,669933,29731
"2015:Q3","pct20to40",3516815,4560518,1694684,498153,262868,1038386,153229,913198,1043703,570297,448226,25180
"2015:Q3","pct00to20",2052579,2701433,975000,299265,254764,286359,404422,481623,648854,275148,274626,99079
"2015:Q4","pct99to100",20620940,21612836,3137226,707286,7649768,1499296,3858942,4760318,991896,662807,110254,218835
"2015:Q4","pct80to99",40154028,46101287,10447927,1690544,9147984,12330201,4410613,8074017,5947258,4675442,1032966,238850
"2015:Q4","pct60to80",12617511,15769393,4297456,1087548,1335928,5764191,710776,2573493,3151882,2189388,881630,80864
"2015:Q4","pct40to60",6564635,8367383,2650956,721472,591451,2499347,295493,1608664,1802748,1114353,656096,32299
"2015:Q4","pct20to40",3660595,4693190,1716035,501140,268046,1049782,166074,992113,1032595,571411,433042,28143
"2015:Q4","pct00to20",2113637,2767491,967725,299043,259815,288742,404969,547197,653854,279465,276641,97748
"2016:Q1","pct99to100",21126647,22119102,3209598,724069,7826713,1518926,3851156,4988639,992455,669568,114663,208224
"2016:Q1","pct80to99",40868451,46801203,10589537,1693843,9314886,12475194,4348187,8379556,5932753,4668534,1036307,227912
"2016:Q1","pct60to80",12548656,15695865,4333356,1097647,1337623,5777329,705067,2444843,3147209,2182905,877252,87052
