"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1996:Q3","HS",6045181,7192282,2085312,671400,694998,1878816,584069,1277687,1147101,788081,316744,42275
"1996:Q3","NoHS",2024958,2301206,783325,215885,104178,514648,227250,455919,276247,166277,102334,7636
"1996:Q4","College",16136749,18421772,3988958,1077525,3527059,3932097,2059164,3836968,2285023,1654688,461990,168344
"1996:Q4","SomeCollege",6200150,7553983,2055978,665514,977031,1756689,776365,1322406,1353833,928892,387614,37327
"1996:Q4","HS",6137172,7288637,2064935,661383,719252,1954729,605202,1283135,1151465,789702,320169,41594
"1996:Q4","NoHS",1989518,2265751,774047,223571,102036,498290,223679,444128,276233,164850,104104,7279
"1997:Q1","College",16403976,18714831,4057779,1098593,3569739,4002179,2197665,3788876,2310855,1683475,451461,175919
"1997:Q1","SomeCollege",6204575,7579165,2081681,671213,975937,1765703,762792,1321840,1374590,947736,386076,40778
"1997:Q1","HS",6184480,7332831,2063941,660437,727536,1970384,645059,1265475,1148351,786697,316712,44942
"1997:Q1","NoHS",1947776,2217855,762621,226858,98082,497090,201530,431673,270078,162565,99926,7588
"1997:Q2","College",17277943,19641723,4116166,1112528,4187580,4206865,2203865,3814720,2363780,1715762,463542,184477
"1997:Q2","SomeCollege",6509051,7918800,2126054,671591,1079170,1892418,790708,1358859,1409749,968726,396651,44373
"1997:Q2","HS",6308786,7460357,2083701,658771,814727,2002798,632394,1267965,1151571,786610,317859,47102
"1997:Q2","NoHS",1901795,2170370,760518,224151,103459,460387,202948,418907,268576,160826,99986,7763
"1997:Q3","College",17956028,20388523,4154946,1132839,4565137,4376138,2269708,3889756,2432495,1766189,477207,189100
"1997:Q3","SomeCollege",6688715,8139972,2179356,672825,1133875,1964451,801206,1388259,1451257,996536,408164,46557
"1997:Q3","HS",6459527,7618127,2125488,663136,862979,2052635,641378,1272511,1158600,793928,320190,44482
"1997:Q3","NoHS",1845519,2113545,742028,221261,104057,445745,191661,408794,268027,160355,100244,7428
"1997:Q4","College",18446874,20945795,4285076,1151328,4687409,4444044,2388307,3989631,2498921,1804924,497889,196108
"1997:Q4","SomeCollege",6740921,8224379,2202256,683044,1145301,1976415,807102,1410262,1483458,1009858,423245,50356
"1997:Q4","HS",6501715,7653364,2117776,652673,879033,2047851,666172,1289859,1151649,782866,320365,48419
"1997:Q4","NoHS",1811082,2077940,727186,230982,101056,439355,176449,402912,266858,156590,102667,7602
"1998:Q1","College",19679923,22222066,4381551,1171129,5407114,4690504,2502702,4069066,2542143,1851059,487676,203407
"1998:Q1","SomeCollege",7081364,8584595,2258371,687874,1256781,2114309,812021,1455239,1503230,1027416,421783,54031
"1998:Q1","HS",6662468,7805351,2153102,650282,970119,2068814,682558,1280476,1142883,777199,315458,50226
"1998:Q1","NoHS",1745200,2005612,718526,230851,106205,400974,161395,387662,260412,153816,99126,7471
"1998:Q2","College",20174575,22786817,4547546,1192257,5537254,4803593,2519422,4186745,2612242,1893492,509327,209424
"1998:Q2","SomeCollege",7187359,8736334,2303884,692219,1271770,2143277,832001,1493182,1548975,1054900,437496,56579
"1998:Q2","HS",6678232,7834633,2153252,651179,990193,2078695,667253,1294061,1156401,785978,319940,50482
"1998:Q2","NoHS",1742502,2004859,735995,232099,103663,396465,158478,378160,262357,153768,100980,7608
"1998:Q3","College",19718014,22392948,4608206,1217387,4880923,4731708,2588335,4366390,2674935,1940130,525816,208989
"1998:Q3","SomeCollege",7005801,8592641,2393087,681372,1153457,2021109,842872,1500743,1586840,1080202,450297,56340
"1998:Q3","HS",6736721,7902884,2226655,680937,907561,2109242,676299,1302190,1166163,791411,322468,52284
"1998:Q3","NoHS",1746187,2008779,741310,217074,90571,439522,148180,372123,262592,153097,102136,7358
"1998:Q4","College",21434890,24194647,4857578,1245350,5912083,5089123,2652035,4438477,2759757,1998243,547473,214041
"1998:Q4","SomeCollege",7370613,8970441,2382321,695767,1281359,2262683,828979,1519333,1599828,1086312,454764,58752
"1998:Q4","HS",6724430,7925203,2228618,662788,980808,2067888,680989,1304112,1200773,812873,335880,52021
"1998:Q4","NoHS",1691176,1960865,746203,229894,109921,371098,139080,364669,269689,160015,103155,6520
"1999:Q1","College",21682571,24492942,4995256,1271229,5914716,5203032,2651198,4457510,2810371,2044397,548479,217494
"1999:Q1","SomeCollege",7435906,9035560,2400700,692394,1259365,2327587,820044,1535469,1599653,1090906,447815,60932
"1999:Q1","HS",6727966,7957698,2280390,671573,955420,2071626,677358,1301332,1229732,834316,346000,49416
"1999:Q1","NoHS",1696906,1970116,749769,226110,118629,368259,149385,357964,273210,167057,100104,6049
"1999:Q2","College",22520222,25422040,5205001,1303092,6468800,5380959,2681090,4383097,2901818,2102874,564337,234607
