"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1998:Q4","Black",1304765,1658240,472190,141862,123609,612583,75860,232136,353475,247718,100561,5197
"1998:Q4","Hispanic",833346,1083770,372871,92700,80239,279472,94876,163612,250424,161468,80128,8828
"1998:Q4","Other",1312518,1600689,501097,113871,266282,283157,224780,211502,288171,202435,63173,22564
"1999:Q1","White",34150924,39172753,9100355,2523208,7793051,8766402,3936072,7053664,5021829,3520936,1202162,298731
"1999:Q1","Black",1306823,1670600,474907,141422,117041,630450,70505,236274,363776,256532,101499,5745
"1999:Q1","Hispanic",817341,1072115,365190,89344,79327,290212,85132,162909,254774,167158,79443,8173
"1999:Q1","Other",1268261,1540848,485662,107334,258710,283440,206275,199426,272587,192050,59295,21242
"1999:Q2","White",35061847,40214564,9286705,2556533,8412599,8979894,4024795,6954038,5152718,3606327,1222336,324054
"1999:Q2","Black",1356777,1738376,495454,150710,118821,661529,68556,243307,381600,266653,107931,7015
"1999:Q2","Hispanic",810779,1074218,377842,87557,80819,304503,65796,157701,263439,174389,81180,7869
"1999:Q2","Other",1319255,1584291,516738,110070,307617,287892,169626,192348,265036,185829,60133,19074
"1999:Q3","White",35121051,40396110,9582163,2598104,8042338,8985720,4165782,7022003,5275060,3703603,1248098,323358
"1999:Q3","Black",1295628,1697990,499370,154715,107670,635179,64300,236756,402361,278150,117006,7205
"1999:Q3","Hispanic",792904,1067162,371318,93653,78789,304691,62930,155782,274258,183443,83861,6953
"1999:Q3","Other",1270703,1537131,502478,104261,267605,287992,187040,187754,266428,186027,62929,17472
"1999:Q4","White",37340804,42743606,9803687,2637752,9569042,9344404,4246386,7142334,5402802,3767372,1269098,366332
"1999:Q4","Black",1375052,1797952,516616,160285,118788,699598,60850,241815,422901,283272,130671,8958
"1999:Q4","Hispanic",793730,1074661,379698,86464,83567,328550,60466,135916,280931,187906,86550,6475
"1999:Q4","Other",1489743,1767325,517440,106621,392692,308854,195862,245856,277582,195925,67303,14354
"2000:Q1","White",38488808,43997447,10178521,2687837,10073685,9532714,4325606,7199085,5508639,3814879,1265842,427917
"2000:Q1","Black",1413892,1848721,534384,165936,117078,720008,55666,255648,434829,285709,138004,11115
"2000:Q1","Hispanic",826926,1108660,388313,88333,84702,342084,48881,156347,281734,190064,85397,6273
"2000:Q1","Other",1508757,1789803,530219,105822,427011,332628,174143,219979,281047,206079,64522,10446
"2000:Q2","White",38383400,43992677,10575911,2727745,9563530,9562850,4412866,7149775,5609277,3905884,1293615,409778
"2000:Q2","Black",1393013,1850422,552434,176052,104375,712857,49193,255510,457408,295912,150398,11099
"2000:Q2","Hispanic",825971,1118262,396662,94132,82631,347727,35923,161186,292291,198260,88697,5334
"2000:Q2","Other",1432426,1720642,535571,106784,370893,343966,159300,204126,288216,209049,69061,10105
"2000:Q3","White",39012229,44748873,10976301,2777707,9538791,9675160,4529687,7251227,5736644,3996763,1329921,409960
"2000:Q3","Black",1372984,1856990,558863,175219,99729,724714,47535,250930,484006,306063,166524,11418
